"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec"
"146","yapsa_0.01","Kidney-RCC",2.42528559173877,2.42850864572091,0.332127345035656,0.805365079365079,0.828571428571429,0.151485217043419,0.267381074927899,0.231111938158987,0.174575158536576,0.979166666666667,1,0.0771029527311718,0.7135,0.75,0.210534766170707
"147","sigpro","Ovary-AdenoCA",2.42520046457531,2.48168758818664,0.503531190515257,0.820190476190476,0.8,0.184621567922781,0.305632868758023,0.213371266002845,0.286787558619093,0.735833333333333,0.666666666666667,0.2518102250705,0.995,1,0.05
"148","yapsa_0.03","Stomach-AdenoCA",2.42318713038663,2.46969235545051,0.373857021651795,0.842352092352092,0.857142857142857,0.142185536900652,0.307479536280035,0.265112171009792,0.178802794910315,0.8985,1,0.15747543588397,0.832166666666667,1,0.199596323814741
"149","deconstruct_0.03","Breast-AdenoCA",2.4176373400266,2.50825486213153,0.422191207348541,0.878968253968254,0.888888888888889,0.137259968428131,0.377029326640066,0.330731740509944,0.227290672003115,0.82,0.8,0.18718782467337,0.974666666666667,1,0.0896269860756046
"150","deconstruct_0.10","Liver-HCC",2.41232896168208,2.66215965506743,0.580828534316677,0.842809523809524,1,0.177459897982658,0.324337704984587,0.244782697431147,0.336687875003846,0.896666666666667,1,0.197884433845235,0.84,1,0.215387313287083
"151","msa_default","Lung-AdenoCA",2.40969369191039,2.50094488730072,0.538992312664967,0.802333333333333,0.8,0.209603044836818,0.30580630808961,0.199291431930949,0.29847393366341,0.95,1,0.145064713296415,0.7655,1,0.286560694138894
"152","yapsa_0.01","Stomach-AdenoCA",2.40759654884442,2.43630563317095,0.326420164223994,0.829891053391053,0.857142857142857,0.133831955727245,0.310546308298437,0.276554730372497,0.175624286468576,0.959,1,0.101404834777607,0.759142857142857,0.75,0.198206738701951
"153","yapsa_0.10","Breast-AdenoCA",2.40656695753669,2.41543890628137,0.290342548218673,0.84,0.857142857142857,0.117517666017816,0.331933042463305,0.303899846702294,0.145959256537414,0.744333333333333,0.75,0.168911149516473,0.994166666666667,1,0.0414641543296869
"154","yapsa_0.06","Stomach-AdenoCA",2.40626013830589,2.45797357483278,0.387732651372154,0.829987734487734,0.857142857142857,0.148452788472449,0.303739861694108,0.259405565332108,0.183093262941322,0.823833333333333,1,0.201108809072153,0.886166666666667,1,0.1692734689642
"155","yapsa_0.03","Eso-AdenoCA",2.40215507393802,2.42900132058965,0.26893674810281,0.860181263181263,0.888888888888889,0.113923012253043,0.354749687966739,0.325491238031606,0.13868509960814,0.825011904761905,0.833333333333333,0.165032833431831,0.931892857142857,1,0.111494300979555
"156","mutsig","Liver-HCC",2.40086740664382,2.41182001363828,0.408156633228711,0.788333333333333,0.8,0.186265846381721,0.287465926689515,0.22539308154249,0.222948088334988,1,1,0,0.688333333333333,0.666666666666667,0.250314056384761
