Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,spec,scaled_L2,KL,cancer.type
Ovary-AdenoCA::S.56,msa_thresholdx1000,28,0.139303482587065,1,1,1,2.86069651741294,1,0.0956984281675191,0.0189972679530215,Ovary-AdenoCA
Ovary-AdenoCA::S.57,msa_thresholdx1000,20,0.148148148148148,0.666666666666667,1,0.8,2.51851851851852,1,0.0942809041582063,0.147571855775994,Ovary-AdenoCA
Ovary-AdenoCA::S.58,msa_thresholdx1000,44,0.407407407407407,1,0.6,0.75,2.19259259259259,0,0.192450089729875,0.333695395627571,Ovary-AdenoCA
Ovary-AdenoCA::S.59,msa_thresholdx1000,29,0.305263157894737,1,1,1,2.69473684210526,1,0.180181502827618,0.0522708849475152,Ovary-AdenoCA
Ovary-AdenoCA::S.60,msa_thresholdx1000,76,0.558823529411765,1,0.75,0.857142857142857,2.19117647058824,0.5,0.338714494302383,0.463596528054617,Ovary-AdenoCA
Ovary-AdenoCA::S.61,msa_thresholdx1000,50,0.34965034965035,1,1,1,2.65034965034965,1,0.237967825554875,0.218740643084144,Ovary-AdenoCA
Ovary-AdenoCA::S.62,msa_thresholdx1000,4,0.0588235294117647,1,1,1,2.94117647058824,1,0.0415945165403852,0.00133133712277355,Ovary-AdenoCA
Ovary-AdenoCA::S.63,msa_thresholdx1000,53,0.304597701149425,1,1,1,2.69540229885057,1,0.182375076466924,0.102330404658312,Ovary-AdenoCA
Ovary-AdenoCA::S.64,msa_thresholdx1000,26,0.125,1,1,1,2.875,1,0.107503268149028,0.000269368600539149,Ovary-AdenoCA
Ovary-AdenoCA::S.65,msa_thresholdx1000,58,0.950819672131147,1,0.5,0.666666666666667,1.54918032786885,0.333333333333333,0.642070689428398,0.901119361157309,Ovary-AdenoCA
Ovary-AdenoCA::S.66,msa_thresholdx1000,25,1.08695652173913,1,0.4,0.571428571428571,1.31304347826087,0,0.657945476105285,1.76117133698978,Ovary-AdenoCA
